Unique ID,broadperiod,period,thickness,diameter,weight,axis,Primary material,axis_known,Manufacture method,Primary Material_n,URL,Manufacture Method_n,Image URL,Saved Image,length,height,width,obverseDescription,reverseDescription,obverseLegend,reverseLegend,reverseType,regionName,cultureName,inscription,objectCertainty,rulerName,mintName,denominationName,tribeName,categoryTerm,moneyerName
IOW-59EFB3,MEDIEVAL,4,,15.5,0.61,2.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/238803,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-545.JPG,IOW-59EFB3.png,,,,King enthroned holding orb and sceptre,Royal shield over long cross which divides the legend. D S by shield,Illegible,CIVI/TAS/DVR/HAM,,South East,,,Certain,Henry VII of England,Durham,Penny,,English coin Late Medieval 1377 - 1489,
WAW-CD61F7,MEDIEVAL,4,,19.7,1.22,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/972779,8,https://finds.org.uk/images/kaleahy/medium/Birm905.jpg,WAW-CD61F7.jpg,,,,"Crowned profile bust, facing left, with sceptre '.","Long cross with three, six pointed mullets and one seven pointed star in angles, giving a total of 25 points.",'ALEXANDER DEI GRA,'REX/SCO/TOR/VM+'.,,,,,,Alexander III of Scotland,,Penny,,,
HAMP2582,MEDIEVAL,4,,18.5,1.93,-1.0,Gold,0,Struck or hammered,3,https://finds.org.uk/database/artefacts/record/id/32138,3,https://finds.org.uk/images/sworrell/medium/hamp 2582.JPG,HAMP2582.png,,,,King's arms in arches of six arcs,"Royal arms, saltire stops in legend. Poorly struck 'E' in centre.",EDWAR R [A]NGL [Z FRANC] D HY[B],EXALTABITUR IN GLOR[IA],,South East,,,Certain,Edward III of England,,Quarter noble,,English coin Edwardian type 1279 - 1377,
CORN-435296,MEDIEVAL,4,0.4,17.2,0.94,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/424975,8,https://finds.org.uk/images/ninacorey/medium/Index 3176. Edward H.S. Penny. LV20. 2.05.06.JPG,CORN-435296.png,,,,Crowned bust facing,Long cross patt?e with three pellets in each quarter,[EDW]A R ANGL DNS hYB,CIVI/TAS/ DVR/EME,,South West,,,Certain,Edward I of England,Durham,Penny,,English coin Edwardian type 1279 - 1377,
IOW-44E334,MEDIEVAL,4,,19.0,1.38,11.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/199649,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-550.JPG,IOW-44E334.png,,,,Crowned bust facing with sceptre,Voided short cross with a quatrefoil in each quadrant,hENRIVS REX (sceptre divided E and R of REX,WALTER ON LV,,South East,,,Certain,John of England,London,Penny,,English coin short and long cross period 1180 - 1278,
PUBLIC-E45FC5,MEDIEVAL,4,,20.0,1.33,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/704786,8,https://finds.org.uk/images/stubblehunter69/medium/Ed1Bobv28296crop.jpg,PUBLIC-E45FC5.jpg,,,,Crowned bust facing,Long cross patt?e with three pellets in each angle,. EDW R' ANGL' DNS hYB,. CIVI/TAS/ CAN/TOR,,South East,,,Certain,Edward I of England,Canterbury,Penny,,English coin Edwardian type 1279 - 1377,
WMID-A89512,MEDIEVAL,4,0.9,17.7,1.0,2.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/609264,8,https://finds.org.uk/images/tgilmore/medium/WMID-A89512.jpg,WMID-A89512.jpg,,,,Forward facing crowned bust.,Long cross with three pellets in each quarter. Crozier before CIVI.,EDWA[ ]REX ANGLI F (annulet stops),CIVI/[ ]/[ ]VR/EmE,,West Midlands,,,Certain,Edward III of England,,,,English coin Late Medieval 1377 - 1489,
IOW-0B62B2,MEDIEVAL,4,,18.7,0.88,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/271311,8,https://finds.org.uk/images/fbasford/medium/IOW2009-2-299.JPG,IOW-0B62B2.png,,,,Crowned bust facing with a bifoliate crown,Long cross dividing the inscription with three pellets in each quadrant (quatrefoil at centre of cross),"EDWARDVS.REX.ANGL[I](An annulet or pellet before EDWARD, probably an annulet)",CIVI/TAS/EBO/RACI,,South East,,,Certain,Edward III of England,York,Penny,,English coin Edwardian type 1279 - 1377,
HAMP-647873,MEDIEVAL,4,,18.6,1.34,4.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/746674,8,https://finds.org.uk/images/khindshamp/medium/HAMP647873.jpg,HAMP-647873.jpg,,,,"Crwoned bust facing with sceptre; three curls to either side of head, no pellets.",Short cross voided with quatrefoil in each angle.,hENRIICVSR/EX (II the result of double striking),+IOAN ON E +IOANTE  (ON ligated; second A and N struck one over the other),,South East,,,Certain,Henry III of England,Canterbury,Penny,,English coin short and long cross period 1180 - 1278,
LEIC-8887F6,MEDIEVAL,4,0.5,,0.5,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/494783,8,https://finds.org.uk/images/rebecca/medium/LEIC-8887F6.JPG,LEIC-8887F6.png,14.0,,10.0,eye and ?part of curved collar,Cross moline with fluer in each angle or cross potent with a crosslet in each angle (the former more likely),,,,East Midlands,,,Certain,Stephen of England,Uncertain,Penny,,Coin of Norman and Early Plantagenet England 1066-1180,
LEIC-CCCCE2,MEDIEVAL,4,0.5,18.0,0.79,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/195493,8,https://finds.org.uk/images/wscott/medium/CCCCE2 .JPG,LEIC-CCCCE2.png,,,,facing crowned bust,Long cross and pellets,Not visible,ME[...],,East Midlands,,,Certain,,Durham,Penny,,English coin Edwardian type 1279 - 1377,
IOW-EA9A93,MEDIEVAL,4,,17.0,0.96,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/130289,8,https://finds.org.uk/images/fbasford/medium/IOW2006-44-3.JPG,IOW-EA9A93.png,,,,Crowned bust facing,Long cross with three pellets in each quarter,EDWAR ANGL DNS HYB,CIVI TAS LON DON,,South East,,,Certain,Edward II of England,London,Penny,,English coin Edwardian type 1279 - 1377,
IOW-667914,MEDIEVAL,4,,16.6,1.27,9.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/250722,8,https://finds.org.uk/images/fbasford/medium/IOW2009-1-181.JPG,IOW-667914.png,,,,Crowned bust facing with a trifoliate crown and wedged drapery (star on breast),Long cross dividing the inscription with three pellets in each quadrant,EDWR ANGL DNS hYB,VILL/NOV/CAS/TRI,,South East,,,Certain,Edward I of England,Newcastle upon Tyne,Penny,,English coin Edwardian type 1279 - 1377,
WAW-984523,MEDIEVAL,4,,,1.34,5.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/62590,8,https://finds.org.uk/images/abolton/medium/WAW-984523.jpg,WAW-984523.jpg,,,,Bust facing forward. The initial cross is thin and is positioned at 11 o'clock and the E is at 12 o'clock.,Long cross with three pellets in each quarter.,EDWA R ANGL DNS HYB,CIVI / TAS / LON / DON,,West Midlands,,,,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
IOW-8F5083,MEDIEVAL,4,,18.0,1.38,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/205891,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-19.JPG,IOW-8F5083.png,,,,Crowned bust facing with a trifoliate crown and wedged drapery (V-shaped nick in band of crown),Long cross dividing the inscription with three pellets in each quadrant,EDWR'ANGL[]NS hYB,CIVI/TAS/LON/DON,,South East,,,Certain,Edward I of England,,Penny,,English coin Edwardian type 1279 - 1377,
SF6328,MEDIEVAL,4,,,1.32,-1.0,Silver,0,,8,https://finds.org.uk/database/artefacts/record/id/21076,8,https://finds.org.uk/images/hgeake/medium/sf6328.jpg,SF6328.jpg,,,,"Clear head in profile looking left, with no crown or beard; hair made up of pellets.  Sceptre in front of head.  Crudely made inscription.",Voided short cross with 5-point star in each quarter. The inscription is retrograde (written in mirror writing & anti-clockwise). HVE WALTER denotes the Perth and Edinburgh moneyers working jointly.,LE REI WILAM,Looks like EV.EWALTER but should be HVE WALTER,,Eastern,,,Certain,William I of Scotland,,Penny,,,
IOW-D14364,MEDIEVAL,4,,18.5,1.31,3.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/204808,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-9.JPG,IOW-D14364.png,,,,Crowned bust facing with sceptre,Voided short cross with a quatrefoil in each quadrant,hENRICVS REX (R and E of REX divided by sceptre),NIChOLE ON []AN,,South East,,,Certain,Henry III of England,Canterbury,Penny,,English coin short and long cross period 1180 - 1278,
LIN-FA20C7,MEDIEVAL,4,,,,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/30091,8,https://finds.org.uk/images/adaubney/medium/LIN55.JPG,LIN-FA20C7.png,19.5,,18.0,obverse is virtually blank due to poor strike,short cross and crosslet,blank,illegible,,East Midlands,,,Certain,Henry II of England,,Penny,,Coin of Norman and Early Plantagenet England 1066-1180,
IOW-9DDAF8,MEDIEVAL,4,,18.6,1.59,1.0,Gold,1,Struck or hammered,3,https://finds.org.uk/database/artefacts/record/id/251864,3,https://finds.org.uk/images/fbasford/medium/IOW2009-1-225.JPG,IOW-9DDAF8.png,,,,"Royal shield within a tressure of eight arches (annulets on cusps, nothing above shield)",Tressure of eight arches containing a small cross potent with annulets in angles,EDWAR DEI GRAC REX ANGL (saltire stops),EXALTBITVR In GLORIA,,South East,,,Certain,Edward III of England,London,Quarter noble,,English coin Edwardian type 1279 - 1377,
IOW-B49EE6,MEDIEVAL,4,,20.0,1.83,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/88067,8,https://finds.org.uk/images/fbasford/medium/IOW2005-62-1.JPG,IOW-B49EE6.png,,,,Crowned bust facing,Long cross pattee dividing the inner and outer inscriptions. Three pellets in each quarter,EDW[ARDVS REX] ANGL Z FRACI,Outer:POSVI DEV [ADIVTOREM] MEVM  Inner:CIVI TAS LON DON,,South East,,,Certain,Edward III of England,London,Half groat,,English coin Edwardian type 1279 - 1377,
IOW-D0BE90,MEDIEVAL,4,,18.0,1.34,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/204797,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-6.JPG,IOW-D0BE90.png,,,,Crowned bust facing,Long cross dividing the inscription with three pellets in each quadrant,EDWAR ANGL DNS hYB,CIVI/TAS/LON/DON,,South East,,,Certain,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
IOW-B8EE33,MEDIEVAL,4,,18.8,1.35,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/243285,8,https://finds.org.uk/images/fbasford/medium/IOW2009-2-13.JPG,IOW-B8EE33.png,,,,Crowned bust facing within a tressure of nine arches,Long cross dividing the inscriptions with three pellets in each quadrant,]FRA[,]TAS/LON/DON (Ns reversely barred),,South East,,,Certain,Edward III of England,,Half groat,,English coin Edwardian type 1279 - 1377,
IOW-B1F0D1,MEDIEVAL,4,,18.0,0.71,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/121860,8,https://finds.org.uk/images/fbasford/medium/IOW2006-19-11.JPG,IOW-B1F0D1.png,,,,Crowned bust facing with sceptre and pellets within curls,Voided short cross with a quatrefoil in each quarter,HEN[RICVS R]EX,HVE ON L...,,South East,,,Certain,John of England,Lincoln,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
LEIC-BFB356,MEDIEVAL,4,0.5,17.0,0.97,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/181503,8,https://finds.org.uk/images/wscott/medium/BFB356.JPG,LEIC-BFB356.png,,,,facing crowned bust (worn),long cross and three pellets,too worn to read,[CIVI]TASCANTOR,,East Midlands,,,Certain,Edward I of England,Canterbury,Penny,,English coin Edwardian type 1279 - 1377,
IOW-5BB77B,MEDIEVAL,4,,20.9,0.98,5.0,Base Silver,1,Struck or hammered,0,https://finds.org.uk/database/artefacts/record/id/654274,0,https://finds.org.uk/images/fbasford/medium/IOW2014-4-285.JPG,IOW-5BB77B.png,,,,Lion rampant to left,Cross pattee with lozenge centre containing a lis (probably),+PhS DEI GRA DVX CO FL,+IN DOMINO CONFIDO,,South East,,,Certain,Philip the Fair (Duke of Burgundy),Flanders,Double mite,,,
LIN-53CCC6,MEDIEVAL,4,0.5,17.0,1.3,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/58616,8,https://finds.org.uk/images/adaubney/medium/LIN1130.JPG,LIN-53CCC6.png,,,,Crowned facing bust,"Long cross, three pellets in angles",+EDWAR R ANGL DNS HYB,CIVITAS LONDON,,East Midlands,,,Certain,Edward III of England,London,Penny,,English coin Edwardian type 1279 - 1377,
IOW-B03362,MEDIEVAL,4,,17.0,0.63,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/218525,8,https://finds.org.uk/images/fbasford/medium/IOW2008-1-232.JPG,IOW-B03362.png,,,,Crowned bust facing without sceptre,Voided long cross dividing the inscription with three pellets in each quadrant,]REX III (pellet after X),"IAC/OB O/[N ...], OB ligated, Bristol or Norwich mint",,South East,,,Certain,Henry III of England,,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
FAKL-57D103,MEDIEVAL,4,,16.8,0.63,3.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/758441,8,https://finds.org.uk/images/kleahy/medium/aaBNT338.jpg,FAKL-57D103.jpg,,,,Obscured by corrosion,voided long cross,HE[   ]RE [x.,WIL [lem/onl/] VND (ligitured).,,East Midlands,,,Certain,Henry III of England,,,,English coin short and long cross period 1180 - 1278,
WAW-FBE380,MEDIEVAL,4,,18.5,1.15,5.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/59086,8,https://finds.org.uk/images/abolton/medium/WAW-FBE380.JPG,WAW-FBE380.png,,,,,,EDWR ANGL DNS HYB,CIVI / TAS / LON / DON,,West Midlands,,,,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
NMS-AE3911,MEDIEVAL,4,,,1.38,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/511459,8,https://finds.org.uk/images/amarsden/medium/NMD062012johnpenny.jpg,NMS-AE3911.jpg,,,,,,hENRICVSR EX,hVE.ON.CANTE,,Eastern,,,Certain,John of England,Canterbury,Penny,,English coin short and long cross period 1180 - 1278,
BUC-115860,MEDIEVAL,4,,17.5,1.1,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/661950,8,https://finds.org.uk/images/rtyrrell/medium/4DSCN9696.JPG,BUC-115860.png,,,,Front-facing crowned bust with pellets at the shoulder and a (probable) cross on the breast all within an inner circle.,Long cross dividing the inscription and with a quatrefoil in centre. There are groups of three pellets in each angle.,RIC[A]RDVS REX A[NGLI] (probably doublestruck with RIC misaligned),CIVI/TAS/[ ]O/RA[ ],,South East,,,Certain,Richard II of England,York,Penny,,English coin Late Medieval 1377 - 1489,
LEIC-ECFEC8,MEDIEVAL,4,0.5,19.0,1.1,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/227093,8,https://finds.org.uk/images/wscott/medium/ECFEC8.JPG,LEIC-ECFEC8.png,,,,facing crowned bust,long cross and pellets,EDWARANGLDNSHYB,CIVITASLONDON,,East Midlands,,,Certain,Edward II of England,London,Penny,,English coin Edwardian type 1279 - 1377,
FAKL-2CB0F7,MEDIEVAL,4,,17.8,1.28,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/439773,8,https://finds.org.uk/images/kleahy/medium/150.jpg,FAKL-2CB0F7.jpg,,,,"Crowned bust, facing",Long cross,EDWAR [angl] DNS HYB,CIVI/TAS/[dur] EME,,Yorkshire and the Humber,,,Certain,Edward II of England,Durham,Penny,,English coin Edwardian type 1279 - 1377,
BH-48CE25,MEDIEVAL,4,0.4,18.4,1.2,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/149722,8,https://finds.org.uk/images/jwatters/medium/Med coin 06 255 - 5.jpg,BH-48CE25.jpg,,,,(Trifoliate) crowned bust facing.,"Long-cross, three pellets in each quarter.","+.EDWR'ANGL'DNS'hYB(Crescentic stops, pellet before)",.CIVI/TAS/LON/DON(pellet before),,Eastern,,,Certain,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
WAW-936D81,MEDIEVAL,4,,,0.3,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/58819,8,https://finds.org.uk/images/abolton/medium/WAW-936D81.JPG,WAW-936D81.png,,,,,Short voided cross.,NRI,N ? LV,,West Midlands,,,,,London,Farthing,,,
ESS-9FDAF5,MEDIEVAL,4,,17.14,1.5,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/87045,8,https://finds.org.uk/images/cmcdonald/medium/DSCN2196.JPG,ESS-9FDAF5.png,,,,Bust facing,Long cross with pellets in each angle,EDWAR ANGL DNS HYB,CIVI/TAS LON/DON,,Eastern,,,Certain,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
LEIC-401EF1,MEDIEVAL,4,0.5,21.0,1.41,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/255156,8,https://finds.org.uk/images/wscott/medium/401EF1.JPG,LEIC-401EF1.png,,,,left facing bust with sceptre,short cross and crosslets,[+HEN]RIREXS,HERBERT:P ON:W,,Eastern,,,Certain,Henry II of England,Winchester,Penny,,Coin of Norman and Early Plantagenet England 1066-1180,
IOW-2F1282,MEDIEVAL,4,,18.0,1.37,8.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/219301,8,https://finds.org.uk/images/fbasford/medium/IOW2008-2-109.JPG,IOW-2F1282.png,,,,Crowned bust facing with sceptre (no pellets in curls),Voided short cross with a quatrefoil in each quadrant,hENRICVS REX (sceptre divides R and E of REX),GIFFRIE ON LVN,,South East,,,Certain,Henry III of England,London,Penny,,English coin short and long cross period 1180 - 1278,
LEIC-098A04,MEDIEVAL,4,0.5,20.0,1.52,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/395007,8,https://finds.org.uk/images/rebecca/medium/098A04.JPG,LEIC-098A04.png,,,,"Facing crowned bust, trefoils in the field around.",Long cross with groups of 3 pellets,,,,,,,,,London,Half groat,,English coin Edwardian type 1279 - 1377,
PUBLIC-8D7403,MEDIEVAL,4,,,0.619,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/605265,8,https://finds.org.uk/images/charles bullock/medium/8d7403obverse.JPG,PUBLIC-8D7403.png,18.01,,,Crowned bust of king facing,Long cross voided dividing the legend with three pellets in each quarter,[...]CVS REX [...],"[.../ON] L/VND, N and D ligated",,South West,,,Certain,Henry III of England,London,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
PUBLIC-E2A787,MEDIEVAL,4,,14.79,0.413,6.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/605702,8,https://finds.org.uk/images/charles bullock/medium/E2A787 obverse.JPG,PUBLIC-E2A787.png,,,,Crowned bust facing,Long cross pattee with three pellets in each quarter,"RICARD REX ANGLIE, saltire stops",CIVI/T[AS]/ LOn/DOn,,South West,,,Certain,Richard II of England,London,Halfpenny,,English coin Late Medieval 1377 - 1489,
IOW-7D4577,MEDIEVAL,4,,18.0,1.1,9.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/191731,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-407.JPG,IOW-7D4577.png,,,,Crowned bust facing with a trifoliate crown and wedged drapery. The right-hand side fleur of the crown is damaged and appears as if bifoliate,Long cross dividing the inscription with three pellets in each quadrant,EDWAR ANGL DNS hYB,CIVI/TAS/LON/DON,,South East,,,Certain,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
CAM-4DC200,MEDIEVAL,4,0.42,16.05,0.57,4.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/282553,8,https://finds.org.uk/images/hfowler/medium/CAM-4DC200.jpg,CAM-4DC200.jpg,,,,Front-facing crowned bust with bifoliate crown and sunken eyes within a pellet circle.,Long cross dividing the inscription with groups of three pellets within each angle.,EDWARDVS REX ANG (star),CIVI/TAS/[ ]/DON(star),,Eastern,,,Certain,Edward III of England,London,Halfpenny,,English coin Edwardian type 1279 - 1377,
PUBLIC-2AD668,MEDIEVAL,4,0.49,15.39,0.544,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/643353,8,https://finds.org.uk/images/charles bullock/medium/2AD668 obverse.JPG,PUBLIC-2AD668.png,,,,Crowned bust facing,Long cross pattee with three pellets in each angle,EDW R' ANGL [DNS] hYB,[CI]VI/TAS/ LIN/COL,,South West,,,Certain,Edward I of England,Lincoln,Halfpenny,,English coin Edwardian type 1279 - 1377,
IOW-4853B5,MEDIEVAL,4,,11.0,0.35,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/103604,8,https://finds.org.uk/images/fbasford/medium/IOW2005-143-3.JPG,IOW-4853B5.png,,,,Crowned bust facing,Long cross with three pellets in each quarter,EDWARDVS REX A.,CIVI TAS LON DON,,South East,,,Certain,Edward II of England,London,Farthing,,English coin Edwardian type 1279 - 1377,
BH-3C68B3,MEDIEVAL,4,0.2,19.6,0.84,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/65868,8,https://finds.org.uk/images/jwatters/medium/Silver coin 0386-54 obv.jpg,BH-3C68B3.jpg,,,,Crowned bust of king facing (very worn).,"Long Cross with quatrefoil-with-pellet at centre, three pellets in each quarter, and cross ends that flare outwards.",EDWARDVS REX....,....TAS EBORA[CI],,Eastern,,,Certain,Edward III of England,,Penny,,English coin Edwardian type 1279 - 1377,
BH-1F1DE5,MEDIEVAL,4,,9.0,0.59,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/813725,8,https://finds.org.uk/images/pwalton/medium/bh1f1de5.jpg,BH-1F1DE5.jpg,,,,Bust,"Long cross, three pellets in each field",[...],CIVITAS LONDON,,Eastern,,,Certain,Edward I of England,London,Halfpenny,,English coin Edwardian type 1279 - 1377,
NARC-F30E23,MEDIEVAL,4,,18.0,0.7,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/67725,8,https://finds.org.uk/images/tbrindle/medium/NARC-F30E23halfpennyobv.jpg,NARC-F30E23.jpg,,,,Crowned bust facing.,"Voided long cross, three pellets in each quarter",[H]ENRIC[...],ONC/A[...],,East Midlands,,,Certain,Henry III of England,Canterbury,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
IOW-CDFF24,MEDIEVAL,4,,18.0,1.37,3.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/156623,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-48.JPG,IOW-CDFF24.png,,,,Crowned bust facing. Bifoliate crown and wedged drapery,Long crosss dividing the inscription. Three pellets in each quadrant,EDWAR ANGL DNS hYB,CIVI/TAS/LON/DON,,South East,,,Certain,Edward I of England,London,Penny,,English coin Edwardian type 1279 - 1377,
LEIC-4051E7,MEDIEVAL,4,0.5,14.0,0.6,12.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/64647,8,https://finds.org.uk/images/wscott/medium/4051E7.JPG,LEIC-4051E7.png,,,,"forward facing bust (type1B, probably)",long cross with three pellets in each quarter,[RICARDxREXxANGL+],CIVITAS LONDON,,,,,,Richard II of England,London,Halfpenny,,English coin Late Medieval 1377 - 1489,
PUBLIC-3DDB82,MEDIEVAL,4,0.8,,0.308,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/748751,8,https://finds.org.uk/images/charles bullock/medium/3DDB82obverse.JPG,PUBLIC-3DDB82.png,8.94,,,Crowned bust facing,Long cross voided with three pellets in each quarter,[...] REX . [...],"[...]/ON O/[...], O and N ligated",,South West,,,Certain,Henry III of England,Oxford,Cut farthing,,English coin short and long cross period 1180 - 1278,
BH-D68BB3,MEDIEVAL,4,,16.0,0.54,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/771977,8,https://finds.org.uk/images/jwatters/medium/Med_coin_16_10_39.jpg,BH-D68BB3.jpg,,,,Illegible,"Long cross, three pellets in each field",[...],[...],,Eastern,,,Certain,Edward III of England,London,Penny,,English coin Edwardian type 1279 - 1377,
IOW-F7FC56,MEDIEVAL,4,,10.5,0.27,5.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/177330,8,https://finds.org.uk/images/fbasford/medium/IOW2007-1-179.JPG,IOW-F7FC56.png,,,,Doge kneeling and presenting banner,Winged lion of Venice within a tressure of four arches,[IN] TRON/VS DVX. L over M in right field (mintmark),None present,,South East,,,Certain,Nicol? Tron,Little Venice,Soldino,,,
FAKL-CBAC31,MEDIEVAL,4,,17.8,1.03,11.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/921237,8,https://finds.org.uk/images/kleahy/medium/Birm593.jpg,FAKL-CBAC31.jpg,,,,"Crowned bust with sceptre, facing,",Short cross,HENRICV [rex].,[hug] O ON NOR,,,,,,Henry II of England,Northampton,Penny,,English coin short and long cross period 1180 - 1278,
LEIC-73C993,MEDIEVAL,4,1.0,18.0,0.71,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/187681,8,https://finds.org.uk/images/wscott/medium/73C993.JPG,LEIC-73C993.png,,,,Part of facing crowned bust,voided long cross and pellets,ICVSREX,NICOLE,,East Midlands,,,Certain,Henry III of England,,Cut halfpenny,,English coin short and long cross period 1180 - 1278,
NLM-C2EEA6,MEDIEVAL,4,0.8,21.4,1.39,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/52816,8,https://finds.org.uk/images/kadams/medium/nlm07367.jpg,NLM-C2EEA6.jpg,,,,Bust facing forward holding a sceptre.,short cross voided.,HENR--VSR----,RAVL-----ND,,Yorkshire and the Humber,,,,Richard I of England,London,Penny,,English coin short and long cross period 1180 - 1278,
WMID5229,MEDIEVAL,4,,,,-1.0,Silver,0,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/44777,8,https://finds.org.uk/images/abolton/medium/Wmid5229obv.jpg,WMID5229.jpg,,,,Rose by crown,"Rose in centre of cross. Quarters as follows  Two roses, one ?pellet / Two ?pellets, one rose / Two roses, one ?pellet / Two ?pellets, one rose",Illegible,Illegible,,West Midlands,,,Certain,,Dublin,Penny,,,
WMID-85EAF2,MEDIEVAL,4,0.84,18.58,1.3,3.0,Silver,1,Struck or hammered,8,https://finds.org.uk/database/artefacts/record/id/535116,8,https://finds.org.uk/images/tgilmore/medium/WMID-85EAF2.jpg,WMID-85EAF2.jpg,,,,Crowned bust facing forwards. Short hair,long cross with three pellets in each quarter.,EDWAR R ANGL DNS hYB,CIVI TAS LON DON,,West Midlands,,,Certain,Edward II of England,London,Penny,,English coin Edwardian type 1279 - 1377,
